mad_timestamp(s),mad_temperature(degrees),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.9500000000000003,0.9500000000000003,1,-1.0,-0.1,0.8621910800000023,0.8621910800000023,4.068965517241379,10.058213437312567,472,116,0.21266641378140672,0.18409157645724428,0.9461141899999994,0.21266641378140672,0.18409157645724428,0.9461141899999994,22.123104371097227,71.00802854594113,6.868867082961641
1.0000000000000004,1.0000000000000004,1,-1.0,-0.1,0.8906652600000022,0.8906652600000022,4.15929203539823,10.251325294577587,470,113,0.2281459187654318,0.1950949989817614,0.9703942200000029,0.2281459187654318,0.1950949989817614,0.9703942200000029,22.033898305084737,72.25691347011598,5.709188224799287
1.0500000000000003,1.0500000000000003,1,-1.0,-0.1,0.8535053000000019,0.8535053000000019,4.287037037037037,10.333378965782687,463,108,0.2379830057475487,0.20303058597945747,1.0427853200000001,0.2379830057475487,0.20303058597945747,1.0427853200000001,21.677074041034793,72.7921498661909,5.530776092774309
1.1000000000000005,1.1000000000000005,1,-1.0,-0.1,0.8964946999999981,0.8964946999999981,4.41747572815534,10.479313206433766,455,103,0.25254886035108937,0.22001133635074352,1.0959220499999986,0.25254886035108937,0.22001133635074352,1.0959220499999986,21.320249776984845,73.68421052631578,4.9955396966993755
1.1500000000000004,1.1500000000000004,1,-1.0,-0.1,1.0424518700000007,1.0424518700000007,4.697916666666667,10.787840175851802,451,96,0.2655233036842103,0.23074606675461784,1.1418574899999996,0.2655233036842103,0.23074606675461784,1.1418574899999996,21.141837644959857,74.57627118644068,4.281891168599464
1.2000000000000004,1.2000000000000004,1,-1.0,-0.1,0.9124105599999979,0.9124105599999979,4.652631578947369,10.727994290446134,442,95,0.2801378322130176,0.24329805498784718,1.197145110000001,0.2801378322130176,0.24329805498784718,1.197145110000001,20.695807314897408,75.37912578055308,3.9250669045495097
1.2500000000000004,1.2500000000000004,1,-1.0,-0.1,0.9124105599999979,0.9124105599999979,4.855555555555555,10.928617998540561,437,90,0.28790902141176455,0.24833573648567084,1.2130096700000053,0.28790902141176455,0.24833573648567084,1.2130096700000053,20.428189116859944,75.82515611061552,3.746654772524532
1.3000000000000005,1.3000000000000005,1,-1.0,-0.1,0.9124105599999979,0.9124105599999979,5.034883720930233,11.08995740384233,433,86,0.2943320792145368,0.25211774747289256,1.290275470000001,0.2943320792145368,0.25211774747289256,1.290275470000001,20.249776984834966,76.09277430865299,3.6574487065120427
1.3500000000000005,1.3500000000000005,1,-1.0,-0.1,0.9124105599999979,0.9124105599999979,5.195121951219512,11.293683778015517,426,82,0.3086432449128919,0.2567758116011668,1.319944360000001,0.3086432449128919,0.2567758116011668,1.319944360000001,19.89295272078501,76.8064228367529,3.300624442462088
1.4000000000000006,1.4000000000000006,1,-1.0,-0.1,0.9746709799999991,0.9746709799999991,5.225,11.321412235229314,418,80,0.3198697900808312,0.2674802313934614,1.3769220499999975,0.3198697900808312,0.2674802313934614,1.3769220499999975,19.536128456735057,77.25245316681534,3.2114183764495987
1.4500000000000006,1.4500000000000006,1,-1.0,-0.1,1.030070160000001,1.030070160000001,5.407894736842105,11.558976497645897,411,76,0.33394344021739125,0.2809203547305538,1.4178463199999989,0.33394344021739125,0.2809203547305538,1.4178463199999989,19.179304192685105,77.96610169491525,2.8545941123996434
1.5000000000000004,1.5000000000000004,1,-1.0,-0.1,1.0600763999999998,1.0600763999999998,5.285714285714286,11.461802336521261,407,77,0.3497346409717514,0.29862649934496127,1.4975763999999998,0.3497346409717514,0.29862649934496127,1.4975763999999998,19.000892060660128,78.94736842105263,2.0517395182872438
1.5500000000000005,1.5500000000000005,1,-1.0,-0.1,1.0600763999999998,1.0600763999999998,5.47945205479452,11.650280247133214,400,73,0.3620142403479237,0.3065464086441695,1.5489024100000037,0.3620142403479237,0.3065464086441695,1.5489024100000037,18.64406779661017,79.48260481712757,1.873327386262266
1.6000000000000005,1.6000000000000005,1,-1.0,-0.1,1.0600763999999998,1.0600763999999998,6.0,12.0742651448392,396,66,0.3741269889432703,0.3123076916398241,1.576512349999998,0.3741269889432703,0.3123076916398241,1.576512349999998,18.465655664585192,80.19625334522748,1.3380909901873328
1.6500000000000006,1.6500000000000006,1,-1.0,-0.1,1.0600763999999998,1.0600763999999998,6.03125,12.19114528817945,386,64,0.38561845046614873,0.3264680654031406,1.6493154799999985,0.38561845046614873,0.3264680654031406,1.6493154799999985,18.01962533452275,80.37466547725245,1.6057091882247994
1.7000000000000006,1.7000000000000006,1,-1.0,-0.1,1.0600763999999998,1.0600763999999998,6.229508196721311,12.302729861831947,380,61,0.3976575465418502,0.33163836887977927,1.6593919600000007,0.3976575465418502,0.33163836887977927,1.6593919600000007,17.752007136485275,80.99910793933988,1.2488849241748439
1.7500000000000007,1.7500000000000007,1,-1.0,-0.1,1.224670979999999,1.224670979999999,6.625,12.590476134194223,371,56,0.41350252775711166,0.34472050005425364,1.7330123499999992,0.41350252775711166,0.34472050005425364,1.7330123499999992,17.30597680642283,81.53434433541481,1.159678858162355
1.8000000000000007,1.8000000000000007,1,-1.0,-0.1,1.224670979999999,1.224670979999999,6.886792452830188,12.746676040795876,365,53,0.42280109478213507,0.35068557765256286,1.78624237,0.42280109478213507,0.35068557765256286,1.78624237,17.038358608385373,81.89116859946476,1.070472792149866
1.8500000000000008,1.8500000000000008,1,-1.0,-0.1,1.224670979999999,1.224670979999999,7.03921568627451,12.873381542004743,359,51,0.4323443901735358,0.35593989505559975,1.809261769999999,0.4323443901735358,0.35593989505559975,1.809261769999999,16.770740410347898,82.24799286351472,0.9812667261373774
1.9000000000000008,1.9000000000000008,1,-1.0,-0.1,1.224670979999999,1.224670979999999,7.1020408163265305,12.930339102454216,348,49,0.45726978334405144,0.37965949958051115,1.891123780000001,0.45726978334405144,0.37965949958051115,1.891123780000001,16.23550401427298,83.22925958965209,0.535236396074933
1.9500000000000006,1.9500000000000006,1,-1.0,-0.1,1.224670979999999,1.224670979999999,7.340425531914893,13.09096910695874,345,47,0.4632260308342247,0.38127785085290516,1.891123780000001,0.4632260308342247,0.38127785085290516,1.891123780000001,16.057091882247992,83.40767172167708,0.535236396074933
2.0000000000000004,2.0000000000000004,1,-1.0,-0.1,1.4436709800000003,1.4436709800000003,8.268292682926829,13.72735277314017,339,41,0.4747930855484558,0.38262164165233875,1.9970933199999976,0.4747930855484558,0.38262164165233875,1.9970933199999976,15.789473684210533,83.76449598572702,0.44603033006244425
2.0500000000000007,2.0500000000000007,1,-1.0,-0.1,1.5929227499999996,1.5929227499999996,8.35,13.77053012777649,334,40,0.48766421899364415,0.3939167125058564,2.0342229999999972,0.48766421899364415,0.3939167125058564,2.0342229999999972,15.521855486173068,84.21052631578947,0.2676181980374665
2.100000000000001,2.100000000000001,1,-1.0,-0.1,1.5929227499999996,1.5929227499999996,8.461538461538462,13.824627140789516,330,39,0.4943972716384779,0.39240153515035286,2.0342229999999972,0.4943972716384779,0.39240153515035286,2.0342229999999972,15.34344335414808,84.38893844781445,0.2676181980374665
2.150000000000001,2.150000000000001,1,-1.0,-0.1,1.6097606599999992,1.6097606599999992,8.675675675675675,13.920729349590253,321,37,0.5088299768559412,0.4072335688388583,2.1142568200000014,0.5088299768559412,0.4072335688388583,2.1142568200000014,14.897413024085639,84.8349687778769,0.2676181980374665
2.2000000000000006,2.2000000000000006,1,-1.0,-0.1,1.6097606599999992,1.6097606599999992,9.057142857142857,13.96514611890792,317,35,0.5189079319581152,0.41878701713267036,2.17371026,0.5189079319581152,0.41878701713267036,2.17371026,14.719000892060654,85.19179304192686,0.08920606601248886
2.250000000000001,2.250000000000001,1,-1.0,-0.1,1.466063609999999,1.466063609999999,9.59375,14.302227481672217,307,32,0.5330706328467154,0.42837208560363094,2.1850636100000003,0.5330706328467154,0.42837208560363094,2.1850636100000003,14.272970561998218,85.5486173059768,0.17841213202497772
2.3000000000000007,2.3000000000000007,1,-1.0,-0.1,1.466063609999999,1.466063609999999,9.870967741935484,14.352120076015906,306,31,0.5392614052237255,0.4326467490474272,2.29871026,0.5392614052237255,0.4326467490474272,2.29871026,14.183764495985718,85.7270294380018,0.08920606601248886
2.350000000000001,2.350000000000001,1,-1.0,-0.1,1.5929227499999996,1.5929227499999996,10.066666666666666,14.336278767130922,302,30,0.546023149927235,0.4366247994576659,2.328623780000001,0.546023149927235,0.4366247994576659,2.328623780000001,14.00535236396075,85.81623550401427,0.17841213202497772
2.400000000000001,2.400000000000001,1,-1.0,-0.1,1.5929227499999996,1.5929227499999996,10.642857142857142,14.52882427087194,298,28,0.5529039291908716,0.43873491328345493,2.328623780000001,0.5529039291908716,0.43873491328345493,2.328623780000001,13.826940231935776,85.99464763603925,0.17841213202497772
2.450000000000001,2.450000000000001,1,-1.0,-0.1,1.6097606599999992,1.6097606599999992,11.153846153846153,14.540903335848334,290,26,0.5717860273814435,0.45699244768766434,2.447393220000002,0.5717860273814435,0.45699244768766434,2.447393220000002,13.470115967885818,86.52988403211418,0.0
2.500000000000001,2.500000000000001,1,-1.0,-0.1,1.6097606599999992,1.6097606599999992,11.52,14.52754624842062,288,25,0.5743848822039136,0.458975568855888,2.447393220000002,0.5743848822039136,0.458975568855888,2.447393220000002,13.380909901873324,86.61909009812668,0.0
2.5500000000000007,2.5500000000000007,1,-1.0,-0.1,1.5929227499999996,1.5929227499999996,11.916666666666666,14.6056971380653,286,24,0.5768750292283952,0.4572054260252248,2.447393220000002,0.5768750292283952,0.4572054260252248,2.447393220000002,13.29170383586083,86.70829616413917,0.0
2.600000000000001,2.600000000000001,1,-1.0,-0.1,1.5929227499999996,1.5929227499999996,12.08695652173913,14.394784814913868,278,23,0.5898451923155741,0.4637869592813826,2.447393220000002,0.5898451923155741,0.4637869592813826,2.447393220000002,12.934879571810882,87.06512042818912,0.0
2.650000000000001,2.650000000000001,1,-1.0,-0.1,1.3806709799999979,1.3806709799999979,12.454545454545455,14.307427418611738,274,22,0.5956637546216772,0.469760072331507,2.447393220000002,0.5956637546216772,0.469760072331507,2.447393220000002,12.756467439785908,87.24353256021409,0.0
2.700000000000001,2.700000000000001,1,-1.0,-0.1,1.412170979999999,1.412170979999999,14.105263157894736,14.275096964707474,268,19,0.6068524315596333,0.47429263185639176,2.447393220000002,0.6068524315596333,0.47429263185639176,2.447393220000002,12.48884924174844,87.51115075825156,0.0
2.750000000000001,2.750000000000001,1,-1.0,-0.1,1.412170979999999,1.412170979999999,14.777777777777779,14.25387103583349,266,18,0.609687800977597,0.4764343072916958,2.447393220000002,0.609687800977597,0.4764343072916958,2.447393220000002,12.399643175735946,87.60035682426405,0.0
