dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2)
28.5,0.0,19.455,-0.048069
28.6,0.0,19.455,-0.048069
28.7,0.0,19.455,-0.048069
28.8,0.0,19.455,-0.048069
28.9,0.0,19.455,-0.048069
29.0,0.0,19.455,-0.048069
29.1,0.0,19.455,-0.048069
29.2,0.0,19.455,-0.048069
29.3,0.0,19.455,-0.048069
29.4,0.0,19.455,-0.048069
29.5,0.0,19.455,-0.048069
29.6,0.0,19.455,-0.048069
29.7,0.0,19.455,-0.048069
29.8,0.0,19.455,-0.048069
29.9,0.0,19.455,-0.048069
30.0,0.0,19.455,-0.048069
30.1,0.0,19.455,-0.048069
30.2,0.0,19.455,-0.048069
30.3,0.0,19.455,-0.048069
30.4,0.0,19.455,-0.048069
30.5,0.0,19.455,-0.048069
30.6,0.0,19.455,-0.048069
30.7,0.0,19.455,-0.048069
30.8,0.0,19.455,-0.048069
30.9,0.0,19.455,-0.048069
31.0,0.0,19.455,-0.048069
31.1,0.0,19.455,-0.048069
31.2,0.0,19.455,-0.048069
31.3,0.0,19.455,-0.048069
31.4,0.0,19.455,-0.048069
31.5,0.0,19.455,-0.048069
31.6,0.0,19.455,-0.048069
31.7,0.0,19.455,-0.048069
31.8,0.0,19.455,-0.048069
31.9,0.0,19.455,-0.048069
32.0,0.0,19.455,-0.048069
32.1,0.0,19.455,-0.048069
32.2,0.0,19.455,-0.048069
32.3,0.0,19.455,-0.048069
32.4,0.0,19.455,-0.048069
32.5,0.0,19.455,-0.048069
32.6,0.0,19.455,-0.048069
32.7,0.0,19.455,-0.048069
32.8,0.0,19.455,-0.048069
32.9,0.0,19.455,-0.048069
33.0,0.0,19.455,-0.048069
33.1,0.0,19.455,-0.048069
33.2,0.0,19.455,-0.048069
33.3,0.0,19.455,-0.048069
33.4,0.0,19.455,-0.048069
33.5,0.0,19.455,-0.048069
33.6,0.0,19.455,-0.048069
33.7,0.0,19.455,-0.048069
33.8,0.0,19.455,-0.048069
33.9,0.0,19.455,-0.048069
34.0,0.0,19.455,-0.048069
34.1,0.0,19.455,-0.048069
34.2,0.0,19.455,-0.048069
34.3,0.0,19.455,-0.048069
34.4,0.0,19.455,-0.048069
