timestamp(s),Cons_FC_PB,Cons_FC_P1,Cons_FC_P2,Cons_FC_P3,Ilum_PB,Ilum_P1,Ilum_P2,Ilum_P3,Temp_PB,Temp_P1,Cons_Ref,Cons_Vent,TOTAL
126000.0,1195.425,1433.0281420720935,1070.5607474141964,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.3347761486449,24.6791758572989,61919.7376431094,9725.290346259173,137574.238221646
129600.0,1195.425,1448.7899347612536,1095.5150001023728,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.6402884547216,24.7456894403708,62463.9095187476,9725.290346259173,126712.263398791
133200.0,1195.425,1402.5437810997905,1097.870585374885,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.5510297647837,24.6233898860893,58270.1165046238,9725.290346259173,115354.07611291
136800.0,1195.425,1383.5112474261166,1096.634987226828,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.5555936190118,24.51677704069,56815.440541366,9725.290346259173,112776.518742187
140400.0,597.7125,1396.4041313179216,301.22020888124166,330.096449999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,26.857183965354,24.5342401227222,55574.711846318,9725.290346259173,94380.476854516
144000.0,0.0,789.59902451718,241.7877260602931,0.0,5782.91185669999,4252.11939999999,4472.217360000001,0.0,27.7430976570031,26.8717089253672,29315.4784892273,3057.207941072213,41139.5186632605
147600.0,0.0,1129.93636910286,222.4228497813234,0.0,4959.81385669999,0.0,4472.217360000001,0.0,27.9020751754483,28.5853657598567,23443.2888862713,2379.4622446888798,45022.6390336468
151200.0,,,,,,,,,,,,,
154800.0,,,,,,,,,,,,,
158400.0,,,,,,,,,,,,,
162000.0,,,,,,,,,,,,,
165600.0,,,,,,,,,,,,,
169200.0,,,,,,,,,,,,,
172800.0,,,,,,,,,,,,,
176400.0,,,,,,,,,,,,,
180000.0,,,,,,,,,,,,,
183600.0,,,,,,,,,,,,,
187200.0,,,,,,,,,,,,,
190800.0,,,,,,,,,,,,,
194400.0,,,,,,,,,,,,,
198000.0,,,,,,,,,,,,,
201600.0,0.0,959.2070572017385,811.4123234626754,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,24.6891591232523,25.0087245804058,35359.2857917097,9725.290346259173,142012.599728394
205200.0,494.381249999999,1010.6930140132456,827.5827877051239,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,25.1520037503351,24.4955935604008,36702.2078572492,9725.290346259173,134976.666173134
208800.0,927.3,1165.7418431235185,918.5571651429786,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,26.1160447910903,24.383955123751,45633.5689204596,9725.290346259173,134460.452883133
212400.0,1195.425,1361.1431471177746,1039.0889614780574,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.1280377151962,24.4109054776255,54140.7676894025,9725.290346259173,132238.848260931
216000.0,1195.425,1393.2702793492565,1058.137057081603,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.5574919795062,24.4520046331236,55878.3417324246,9725.290346259173,124184.843701147
219600.0,1195.425,1391.7002242117846,1076.5798726975033,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.6501880954615,24.4662184604376,56891.131379511,9725.290346259173,119487.950040294
223200.0,1195.425,1398.6711901053156,1100.358731539712,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.7277974697456,24.5228618479764,58644.9830324885,9725.290346259173,120849.356402757
226800.0,597.7125,1418.4325218348376,314.17391675905566,330.096449999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,27.0509552607832,24.5979459327415,57762.7410120771,9725.290346259173,102012.031666681
230400.0,0.0,913.84730675213,250.1470541856028,0.0,5782.91185669999,4252.11939999999,4472.217360000001,0.0,27.8780858272099,26.9898342522359,30309.474849027,3057.207941072213,46331.4693159285
234000.0,0.0,1158.68692048953,230.2409729650127,0.0,4959.81385669999,0.0,4472.217360000001,0.0,27.9858607801114,28.6990036623197,24456.442031708,2379.4622446888798,48510.3002993749
237600.0,0.0,1081.27614717336,212.5859261945244,0.0,1034.1789641749992,0.0,4472.217360000001,0.0,27.6436628847703,28.7748532344893,23180.5184677003,2379.4622446888798,50269.2414675321
241200.0,0.0,871.370488045567,192.8629088928455,0.0,0.0,0.0,4472.217360000001,0.0,27.4698523147008,28.7501289248792,22561.5352539572,2379.4622446888798,57054.014097797
244800.0,0.0,765.536343260983,0.0,0.0,0.0,0.0,4472.217360000001,0.0,27.3379618048198,28.6942134838204,9121.71749335022,0.0,49378.1389988546
248400.0,0.0,718.333028070245,0.0,0.0,0.0,0.0,4472.217360000001,0.0,27.1836340768167,28.5744919076806,8434.81090408507,0.0,50140.1391191565
252000.0,0.0,677.513115032608,0.0,0.0,0.0,0.0,4472.217360000001,0.0,27.0497268253146,28.4501476050874,8033.76767708381,0.0,49692.2232129798
255600.0,0.0,648.318929722971,0.0,0.0,0.0,0.0,0.0,0.0,26.9402024130548,28.3549378790726,7740.88458583147,0.0,44893.375938646
259200.0,0.0,573.31887674181,0.0,0.0,0.0,0.0,0.0,0.0,26.858533718311,28.2964098527449,7499.65052718139,0.0,44573.2428468204
262800.0,0.0,389.892833435127,0.0,0.0,0.0,0.0,0.0,0.0,26.763865780654,28.2099179009567,7154.63764694269,0.0,44039.4886172088
266400.0,0.0,359.484343045076,0.0,0.0,0.0,0.0,0.0,0.0,26.6444264922759,28.0784626633028,6664.05522531107,0.0,43512.7394317682
270000.0,0.0,345.658337576955,0.0,0.0,0.0,0.0,0.0,0.0,26.5602221301467,28.0027241059089,6425.09002011481,0.0,43256.9435944803
273600.0,0.0,329.229169818231,0.0,0.0,0.0,0.0,0.0,0.0,26.4964867433996,27.9550182229141,6122.43798889395,0.0,42933.979688427
277200.0,0.0,310.506898151126,0.0,0.0,0.0,0.0,0.0,0.0,26.418158962624,27.8805097480053,5811.4262204408,0.0,42600.0514221818
280800.0,0.0,290.20174847786,0.0,0.0,0.0,0.0,0.0,0.0,26.3430909329651,27.8095368129124,5510.48312639254,0.0,42190.8406212266
284400.0,69.31875,168.860607030378,313.75436556218074,330.096449999999,3714.5539283499993,4252.11939999999,2236.1086800000003,607.59180078,24.0323626824377,27.2576236703999,18811.0734548179,7445.274626349584,76257.6445695701
