mad_timestamp(s),mad_x,mad_y,mad_z,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
8.700000000000001,8.700000000000001,8.700000000000001,8.700000000000001,50,-1.0,-0.1,11.36111350176557,19.169999999999995,3.480769230769231,5.6329742950136055,362,104,3.141076489143298,2.6160995358966406,11.36111350176557,4.239340232858991,3.7737461637005967,19.169999999999995,18.718718718718726,77.37737737737737,3.903903903903904
8.900000000000002,8.900000000000002,8.900000000000002,8.900000000000002,50,-1.0,-0.1,12.219697213924738,20.639999999999997,3.495145631067961,5.665212849423843,360,103,3.208438284861018,2.649712248159137,12.219697213924738,4.337922580645162,3.826747318437362,20.639999999999997,18.618618618618626,77.57757757757757,3.8038038038038042
9.100000000000001,9.100000000000001,9.100000000000001,9.100000000000001,50,-1.0,-0.1,12.219697213924738,20.639999999999997,3.364485981308411,5.58434481195202,360,107,3.3046981086999,2.7468854882188514,12.219697213924738,4.465889884763125,3.9477685404316882,20.639999999999997,18.618618618618612,78.17817817817819,3.203203203203203
9.3,9.3,9.3,9.3,50,-1.0,-0.1,12.219697213924738,20.639999999999997,3.3333333333333335,5.590998055737388,360,108,3.2954975856999287,2.756632001270906,12.219697213924738,4.457605633802817,3.956073795470092,20.639999999999997,18.618618618618612,78.17817817817819,3.203203203203203
9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,50,-1.0,-0.1,12.219697213924738,20.639999999999997,3.314814814814815,5.5521903388031495,358,108,3.3085993589584426,2.7662923017644387,12.219697213924738,4.473649167733675,3.965151543182106,20.639999999999997,18.518518518518512,78.17817817817819,3.303303303303303
9.700000000000003,9.700000000000003,9.700000000000003,9.700000000000003,50,-1.0,-0.1,10.736181816642281,15.160000000000025,3.4311926605504586,5.7283569100997385,374,109,3.363955782277942,2.814531627134306,12.219697213924738,4.5663024142312585,4.077769518253419,20.639999999999997,19.319319319319312,78.77877877877879,1.9019019019019021
9.900000000000002,9.900000000000002,9.900000000000002,9.900000000000002,50,-1.0,-0.1,10.736181816642281,15.160000000000025,3.425925925925926,5.71256526618637,370,108,3.407249521757002,2.842945639593669,13.666283327957164,4.620571065989848,4.101736731804084,23.109999999999992,19.11911911911912,78.87887887887888,2.002002002002002
10.100000000000001,10.100000000000001,10.100000000000001,10.100000000000001,50,-1.0,-0.1,10.736181816642281,15.160000000000025,3.425925925925926,5.7174257735448135,370,108,3.4113969387002943,2.870366579770044,13.666283327957164,4.626992385786802,4.125295739583809,23.109999999999992,19.11911911911912,78.87887887887888,2.002002002002002
10.300000000000002,10.300000000000002,10.300000000000002,10.300000000000002,50,-1.0,-0.1,10.736181816642281,15.160000000000025,3.4766355140186915,5.760558439947222,372,107,3.4086298005793276,2.8754841109716205,13.666283327957164,4.621827411167513,4.138306620581556,23.109999999999992,19.21921921921922,78.87887887887888,1.9019019019019021
10.500000000000004,10.500000000000004,10.500000000000004,10.500000000000004,50,-1.0,-0.1,11.229176283236448,15.879999999999995,3.4766355140186915,5.767044294540087,372,107,3.437249210780227,2.9140674418901344,13.666283327957164,4.663032994923858,4.1881609867205425,23.109999999999992,19.21921921921922,78.87887887887888,1.9019019019019021
