mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
2.2,2.2,2.2,2.2,2.2,2.2,2.2,50,-1.0,-0.1,2.273763400180429,3.700000000000017,9.23076923076923,23.319367474446732,240,26,0.18636300305583137,0.4904998636417483,3.1384709652950145,0.3016733601070946,0.8459786822312028,5.299999999999905,8.28762949421084,91.0420475319927,0.6703229737964655
2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,50,-1.0,-0.1,2.061552812808815,3.5999999999999996,9.23076923076923,23.319367474446732,240,26,0.19918563150954038,0.531025809969206,3.299999999999973,0.32484969939879704,0.9160907006396813,5.699999999999964,8.287629494210847,91.22486288848263,0.4875076173065204
2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,50,-1.0,-0.1,2.280350850198226,3.5000000000000355,10.347826086956522,24.55802126225931,238,23,0.2200558148009326,0.5905156828617094,4.064480286580283,0.3606666666666665,1.0134032870591152,6.999999999999943,8.226691042047538,91.40767824497257,0.3656307129798903
2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,50,-1.0,-0.1,2.280350850198226,3.5999999999999996,10.727272727272727,24.885523024408133,236,22,0.22471374010035425,0.6049989545529068,4.064480286580283,0.3682666666666666,1.035828008031362,6.999999999999943,8.165752589884223,91.40767824497257,0.42656916514320536
3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,50,-1.0,-0.1,2.280350850198226,3.5999999999999996,10.727272727272727,24.885523024408133,236,22,0.22682330122724442,0.6102911223160108,4.064480286580283,0.3713524317121918,1.0423568316717284,6.999999999999943,8.16575258988421,91.4686166971359,0.3656307129798903
3.2,3.2,3.2,3.2,3.2,3.2,3.2,50,-1.0,-0.1,2.280350850198226,3.5999999999999996,10.727272727272727,24.885523024408133,236,22,0.232212300115471,0.627515246933091,4.399999999999964,0.380904856952761,1.0740333100796753,7.59999999999995,8.165752589884214,91.59049360146253,0.2437538086532602
3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,50,-1.0,-0.1,2.280350850198226,3.5000000000000355,10.727272727272727,24.885523024408133,236,22,0.23649736213141884,0.6420130059683676,4.642197755374013,0.38829787234042523,1.0989278026910518,7.8999999999999275,8.165752589884216,91.65143205362584,0.18281535648994515
3.6000000000000005,3.6000000000000005,3.6000000000000005,3.6000000000000005,3.6000000000000005,3.6000000000000005,3.6000000000000005,50,-1.0,-0.1,2.280350850198226,3.6999999999998465,11.142857142857142,25.37956754910516,234,21,0.25050138358657237,0.6992258797467321,4.642197755374013,0.41182724252491676,1.1914449964044407,7.8999999999999275,8.104814137720902,91.71237050578915,0.18281535648994515
3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,3.8000000000000003,50,-1.0,-0.1,2.722131517763193,4.699999999999918,11.7,25.884551377221126,234,20,0.26106721585365095,0.7406418946498637,5.752390807307825,0.4304116865869852,1.263368656300547,9.899999999999935,8.104814137720904,91.77330895795247,0.1218769043266301
4.0,4.0,4.0,4.0,4.0,4.0,4.0,50,-1.0,-0.1,2.722131517763193,4.699999999999918,11.7,25.884551377221126,234,20,0.2658872832339131,0.7564108034943855,5.752390807307825,0.43888520238885176,1.2912500507351634,9.899999999999935,8.104814137720892,91.8342474101158,0.06093845216331505
