timestamp(s),s1,s2,s3,s4,s5,s6
3590,90,90,180,172,90,10
3600,90,90,180,172,90,10
3610,90,90,180,172,90,10
3620,90,90,180,172,90,10
3630,90,90,180,172,90,10
3640,90,90,180,172,90,10
3650,90,90,180,172,90,10
3660,90,90,180,172,90,10
3670,90,90,180,172,90,10
3680,90,90,180,172,90,10
3690,90,90,180,172,90,10
3700,90,90,180,172,90,10
3710,90,90,180,172,90,10
3720,90,90,180,172,90,10
3730,90,90,180,172,90,10
3740,90,90,180,172,90,10
3750,90,90,180,172,90,10
3760,90,90,180,172,90,10
3770,90,90,180,172,90,10
3780,90,90,180,172,90,10
3790,90,90,180,172,90,10
3800,90,90,180,172,90,10
3810,90,90,180,172,90,10
3820,90,90,180,172,90,10
3830,90,90,180,172,90,10
3840,90,90,180,172,90,10
3850,90,90,180,172,90,10
3860,90,90,180,172,90,10
3870,90,90,180,172,90,10
3880,90,90,180,172,90,10
3890,90,90,180,172,90,10
3900,90,90,180,172,90,10
3910,90,90,180,172,90,10
3920,90,90,180,172,90,10
3930,90,90,180,172,90,10
3940,90,90,180,172,90,10
3950,90,90,180,172,90,10
3960,90,90,180,172,90,10
3970,90,90,180,172,90,10
3980,90,90,180,172,90,10
3990,90,90,180,172,90,10
4000,90,90,180,172,90,10
4010,90,90,180,172,90,10
4020,90,90,180,172,90,10
4030,90,90,180,172,90,10
4040,90,90,180,172,90,10
4050,90,90,180,172,90,10
4060,90,90,180,172,90,10
4070,90,90,180,172,90,10
4080,90,90,180,172,90,10
4090,90,90,180,172,90,10
4100,90,90,180,172,90,10
4110,90,90,180,172,90,10
4120,90,90,180,172,90,10
4130,90,90,180,172,90,10
4140,90,90,180,172,90,10
4150,90,90,180,172,90,10
4160,90,90,180,172,90,10
4170,90,90,180,172,90,10
4180,90,90,180,172,90,10
4190,90,90,180,172,90,10
4200,90,90,180,172,90,10
4210,90,89.7,179.9,171.4,90,10
4220,90,89.4,179.8,170.8,90,10
4230,90,89.1,179.7,170.2,90,10
4240,90,88.8,179.6,169.6,90,10
4250,90,88.5,179.5,169,90,10
4260,90,88.2,179.4,168.4,90,10
4270,90,87.9,179.3,167.8,90,10
4280,90,87.6,179.2,167.2,90,10
4290,90,87.3,179.1,166.6,90,10
4300,90,87,179,166,90,10
4310,90,86.2,178.7,164,90,10
4320,90,85.4,178.4,162,90,10
4330,90,84.6,178.1,160,90,10
4340,90,83.8,177.8,158,90,10
4350,90,83,177.5,156,90,10
4360,90,82.2,177.2,154,90,10
4370,90,81.4,176.9,152,90,10
4380,90,80.6,176.6,150,90,10
4390,90,79.8,176.3,148,90,10
4400,90,79,176,146,90,10
4410,90,78.2,175.8,144,90,10
4420,90,77.4,175.6,142,90,10
4430,90,76.6,175.4,140,90,10
4440,90,75.8,175.2,138,90,10
4450,90,75,175,136,90,10
4460,90,74.2,174.8,134,90,10
4470,90,73.4,174.6,132,90,10
4480,90,72.6,174.4,130,90,10
4490,90,71.8,174.2,128,90,10
4500,90,71,174,126,90,10
4510,90,70.2,173.8,124,90,10
4520,90,69.4,173.6,122,90,10
4530,90,68.6,173.4,120,90,10
4540,90,67.8,173.2,118,90,10
4550,90,67.8,173,116,90,10
4560,90,67.8,172.8,114,90,10
4570,90,67.8,172.6,112,90,10
4580,90,67.8,172.4,110,90,10
4590,90,67.8,172.2,108,90,10
4600,90,67.8,172,106,90,10
4610,90,67.8,171.8,104,90,10
4620,90,67.8,171.6,102,90,10
4630,90,67.8,171.4,100,90,10
4640,90,67.8,171.2,100,90,10
4650,90,67.8,171,100,90,10
4660,90,67.8,170.8,100,90,10
4670,90,67.8,170.6,100,90,10
4680,90,67.8,170.4,100,90,10
4690,90,67.8,170.2,100,90,10
4700,90,67.8,170,100,90,10
4710,90,67.8,170,100,90,10
4720,90,55,170,100,90,10
4730,90,55,170,100,90,10
4740,90,55,170,100,90,10
4750,90,55,170,100,90,10
4760,90,55,170,100,90,10
4770,90,55,170,100,90,10
4780,90,55,170,100,90,10
4790,90,55,170,100,90,10
4800,90,55,170,100,90,10
4810,90,55,170,100,90,10
4820,90,55,170,100,90,10
4830,90,55,170,100,90,10
4840,90,55,170,100,90,10
4850,90,55,170,100,90,10
4860,90,55,170,100,90,10
4870,90,55,170,100,90,10
4880,90,55,170,100,90,10
4890,90,55,170,100,90,10
4900,90,55,170,100,90,10
4910,90,55,170,100,90,10
4920,90,55,170,100,90,10
4930,90,55,170,100,90,10
4940,90,55,170,100,90,10
4950,90,55,170,100,90,10
4960,90,55,170,100,90,10
4970,90,55,170,100,90,10
4980,90,55,170,100,90,10
4990,90,55,170,100,90,10
5000,90,55,170,100,90,10
5010,90,55,170,100,90,10
5020,90,55,170,100,90,10
5030,90,55,170,100,90,10
5040,90,55,170,100,90,10
5050,90,55,170,100,90,10
5060,90,55,170,100,90,10
5070,90,55,170,100,90,10
5080,90,55,170,100,90,10
5090,90,55,170,100,90,10
5100,90,55,170,100,90,10
5110,90,55,170,100,90,10
5120,90,55,170,100,90,10
5130,90,55,170,100,90,10
5140,90,55,170,100,90,10
5150,90,55,170,100,90,10
5160,90,55,170,100,90,10
5170,90,55,170,100,90,10
5180,90,55,170,100,90,10
5190,90,55,170,100,90,10
5200,90,55,170,100,90,10
5210,90,55,170,100,90,10
5220,90,55,170,100,90,10
5230,90,55,170,100,90,10
5240,90,55,170,100,90,10
5250,90,55,170,100,90,10
5260,90,55,170,100,90,10
5270,90,55,170,100,90,10
5280,90,55,170,100,90,10
5290,90,55,170,100,90,10
5300,90,55,170,100,90,10
5310,90,55,170,100,90,10
5320,90,55,170,100,90,10
5330,90,55,170,100,90,10
5340,90,55,170,100,90,10
5350,90,55,170,100,90,10
5360,90,55,170,100,90,10
5370,90,55,170,100,90,10
5380,90,55,170,100,90,10
5390,90,55,170,100,90,10
5400,90,55,170,100,90,10
5410,90,55,170,100,90,10
5420,90,55,170,100,90,10
5430,90,55,170,100,90,10
5440,90,55,170,100,90,10
5450,90,55,170,100,90,10
5460,90,55,170,100,90,10
5470,90,55,170,100,90,10
5480,90,55,170,100,90,10
5490,90,55,170,100,90,10
5500,90,55,170,100,90,10
5510,90,55,170,100,90,10
5520,90,55,170,100,90,10
5530,90,55,170,100,90,10
5540,90,55,170,100,90,10
5550,90,55,170,100,90,10
5560,90,55,170,100,90,10
5570,90,55,170,100,90,10
5580,90,55,170,100,90,10
5590,90,55,170,100,90,10
5600,90,55,170,100,90,10
5610,90,55,170,100,90,10
5620,90,55,170,100,90,10
5630,90,55,170,100,90,10
5640,90,55,170,100,90,10
5650,90,55,170,100,90,10
5660,90,55,170,100,90,10
5670,90,55,170,100,90,10
5680,90,55,170,100,90,10
5690,90,55,170,100,90,10
5700,90,55,170,100,90,10
5710,90,55,170,100,90,10
5720,90,55,170,100,90,10
5730,90,55,170,100,90,10
5740,90,55,170,100,90,10
5750,90,55,170,100,90,10
5760,90,55,170,100,90,10
5770,90,55,170,100,90,10
5780,90,55,170,100,90,10
