timestamp(s),s1,s2,s3,s4,s5,s6,x,y,z,distance_zero
3920,90,90,180,172,90,66.3,-108.14,0,19,109.7964462
3940,90,90,180,172,90,66.6,-108.14,0,19,109.7964462
3960,90,90,180,172,90,66.9,-108.14,0,19,109.7964462
3980,90,90,180,172,90,67.2,-108.14,0,19,109.7964462
4000,90,90,180,172,90,69,-108.14,0,19,109.7964462
4020,90,90,180,172,90,69.3,-108.14,0,19,109.7964462
4040,90,90,180,172,90,69.6,-108.14,0,19,109.7964462
4060,90,90,180,172,90,69.9,-108.14,0,19,109.7964462
4080,90,90,180,172,90,70.2,-108.14,0,19,109.7964462
4100,90,90,180,172,90,72,-108.14,0,19,109.7964462
4120,90,89.8,179.9,171.6,90,72.1,-110.1,0,20,111.9017873
4140,90,89.6,179.8,171.2,90,72.2,-112.05,0,20,113.8209229
4160,90,89.4,179.7,170.8,90,72.3,-114,0,21,115.9180745
4180,90,89.2,179.6,170.4,90,72.4,-115.93,0,22,117.9990038
4200,90,88,179,168,90,73,-127.39,0,28,130.430871
4220,90,87.9,179,167.6,90,73,-128.81,0,28,131.8181175
4240,90,87.8,179,167.2,90,73,-130.22,0,29,133.4100761
4260,90,87.7,179,166.8,90,73,-131.62,0,29,134.7769431
4280,90,87.6,179,166.4,90,73,-133.02,0,30,136.360993
4300,90,87,179,164,90,73,-141.33,0,34,145.362199
4320,90,86.8,178.9,163.6,90,73,-143.14,0,35,147.3569123
4340,90,86.6,178.8,163.2,90,73,-144.94,0,36,149.3439105
4360,90,86.4,178.7,162.8,90,73,-146.73,0,38,151.5707521
4380,90,86.2,178.6,162.4,90,73,-148.5,0,39,153.5358264
4400,90,85,178,160,90,73,-158.87,0,47,165.6764223
4420,90,84.8,178,159.6,90,73,-160.27,0,48,167.3035352
4440,90,84.6,178,159.2,90,73,-161.67,0,49,168.9324981
4460,90,84.4,178,158.8,90,73,-163.06,0,51,170.849535
4480,90,84.2,178,158.4,90,73,-164.43,0,52,172.4564435
4500,90,83,178,156,90,73,-172.46,0,59,182.2730139
4520,90,82.8,177.9,155.5,90,73,-174.27,0,61,184.6375717
4540,90,82.6,177.8,155,90,73,-176.06,0,63,186.9923089
4560,90,82.4,177.7,154.5,90,73,-177.83,0,65,189.3370246
4580,90,82.2,177.6,154,90,73,-179.57,0,67,191.6621635
4600,90,81,177,151,90,73,-189.54,0,79,205.3446167
4620,90,80.9,177,150.6,90,73,-190.58,0,80,206.6899523
4640,90,80.8,177,150.2,90,73,-191.62,0,81,208.0365939
4660,90,80.7,177,149.8,90,73,-192.65,0,82,209.3753149
4680,90,80.6,177,149.4,90,73,-193.67,0,84,211.1020343
4700,90,80,177,147,90,73,-199.57,0,91,219.3380608
4720,90,79.8,176.9,146.6,90,73,-200.76,0,93,221.2545539
4740,90,79.6,176.8,146.2,90,73,-201.92,0,95,223.1517116
4760,90,79.4,176.7,145.8,90,73,-203.06,0,97,225.0385825
4780,90,79.2,176.6,145.4,90,73,-204.18,0,99,226.9151216
4800,90,78,176,143,90,73,-210.41,0,112,238.3618428
4820,90,77.8,176,142.5,90,73,-211.4,0,114,240.1790166
4840,90,77.6,176,142,90,73,-212.37,0,116,241.9855717
4860,90,77.4,176,141.5,90,73,-213.32,0,118,243.7815055
4880,90,77.2,176,141,90,73,-214.25,0,120,245.5668188
4900,90,76,176,138,90,73,-219.29,0,133,256.4704741
4920,90,75.8,175.9,137.6,90,73,-220.01,0,135,258.1267133
4940,90,75.6,175.8,137.2,90,73,-220.69,0,138,260.284606
4960,90,75.4,175.7,136.8,90,73,-221.35,0,140,261.9080421
4980,90,75.2,175.6,136.4,90,73,-221.98,0,142,263.5130365
5000,90,74,175,134,90,73,-225.21,0,157,274.5333206
5020,90,73.9,175,133.6,90,73,-225.65,0,158,275.4667357
5040,90,73.8,175,133.2,90,73,-226.07,0,160,276.9614502
5060,90,73.7,175,132.8,90,73,-226.48,0,161,277.8744148
5080,90,73.6,175,132.4,90,73,-226.88,0,163,279.3627291
5100,90,73,175,130,90,73,-228.98,0,173,286.9857843
5120,90,72.8,174.9,129.5,90,73,-229.33,0,176,289.0817339
5140,90,72.6,174.8,129,90,73,-229.64,0,178,290.5486699
5160,90,72.4,174.7,128.5,90,73,-229.92,0,181,292.6161417
5180,90,72.2,174.6,128,90,73,-230.15,0,184,294.6608601
5200,90,71,174,125,90,73,-230.81,0,201,306.0625036
5220,90,70.8,174,124.6,90,73,-230.74,0,203,307.327102
5240,90,70.6,174,124.2,90,73,-230.66,0,205,308.5920213
5260,90,70.4,174,123.8,90,73,-230.55,0,207,309.8423833
5280,90,70.2,174,123.4,90,73,-230.42,0,209,311.0858023
5300,90,69,174,121,90,73,-229.22,0,222,319.1015644
5320,90,68.8,173.9,120.6,90,73,-228.9,0,224,320.2674039
5340,90,68.6,173.8,120.2,90,73,-228.55,0,227,322.1243587
5360,90,68.4,173.7,119.8,90,73,-228.17,0,229,323.2685399
5380,90,68.2,173.6,119.4,90,73,-227.76,0,232,325.1132381
5400,90,67,173,117,90,73,-224.7,0,247,333.9147945
5420,90,66.9,173,116.6,90,73,-224.4,0,249,335.1960024
5440,90,66.8,173,116.2,90,73,-224.09,0,251,336.4778271
5460,90,66.7,173,115.8,90,73,-223.77,0,252,337.0118884
5480,90,66.6,173,115.4,90,73,-223.43,0,254,338.2853306
5500,90,66,173,113,90,73,-221.1,0,264,344.3562254
5520,90,65.8,172.9,112.5,90,73,-220.24,0,267,346.1136484
5540,90,65.6,172.8,112,90,73,-219.34,0,270,347.8649675
5560,90,65.4,172.7,111.5,90,73,-218.4,0,272,348.8302739
5580,90,65.2,172.6,111,90,73,-217.42,0,275,350.5659088
5600,90,64,172,108,90,73,-210.79,0,292,360.1338975
5620,90,63.8,172,107.6,90,73,-209.83,0,294,361.1988772
5640,90,63.6,172,107.2,90,73,-208.84,0,296,362.2570159
5660,90,63.4,172,106.8,90,73,-207.84,0,298,363.3200595
5680,90,63.2,172,106.4,90,73,-206.81,0,300,364.3766953
5700,90,62,172,104,90,73,-200.25,0,311,369.8933123
5720,90,61.8,171.9,103.6,90,73,-198.88,0,314,371.6843478
5740,90,61.6,171.8,103.2,90,73,-197.48,0,316,372.6316551
5760,90,61.4,171.7,102.8,90,73,-196.06,0,318,373.5820172
5780,90,61.2,171.6,102.4,90,73,-194.61,0,320,374.5304422
5800,90,60,171,100,90,73,-185.35,0,334,381.9824898
5820,90,59.9,171,99.5,90,73,-184.18,0,336,383.1687258
5840,90,59.8,171,99,90,73,-183,0,337,383.4814207
5860,90,59.7,171,98.5,90,73,-181.8,0,339,384.6716002
5880,90,59.6,171,98,90,73,-180.58,0,341,385.8628466
5900,90,59,171,95,90,73,-172.89,0,351,391.2696667
5920,90,58.8,170.9,94.6,90,73,-171.05,0,353,392.2589738
5940,90,58.6,170.8,94.2,90,73,-169.19,0,355,393.2559677
5960,90,58.4,170.7,93.8,90,73,-167.31,0,357,394.2608732
5980,90,58.2,170.6,93.4,90,73,-165.4,0,359,395.2697307
6000,90,57,170,91,90,73,-153.48,0,370,400.5697323
6020,90,56.8,170,90.6,90,73,-151.73,0,372,401.753647
6040,90,56.6,170,90.2,90,73,-149.97,0,373,402.0199011
6060,90,56.4,170,89.8,90,73,-148.19,0,375,403.2186455
6080,90,56.2,170,89.4,90,73,-146.4,0,376,403.4959232
6100,90,55,170,87,90,73,-135.34,0,384,407.152202
6120,90,55,169.8,86.9,90,73,-134.42,0,385,407.7912902
6140,90,55,169.6,86.8,90,73,-133.48,0,386,408.4273625
6160,90,55,169.4,86.7,90,73,-132.55,0,387,409.0702904
6180,90,55,169.2,86.6,90,73,-131.61,0,388,409.7135488
6200,90,55,168,86,90,73,-125.88,0,393,412.6678742
6220,90,55.2,167.6,86,90,73,-125.4,0,393,412.5217085
6240,90,55.4,167.2,86,90,73,-124.92,0,394,413.3291744
6260,90,55.6,166.8,86,90,73,-124.44,0,395,414.1380369
6280,90,55.8,166.4,86,90,73,-123.95,0,396,414.9453006
6300,90,57,164,86,90,73,-121.01,0,400,417.9036014
6320,90,57.2,163.6,86,90,73,-120.52,0,401,418.7195606
6340,90,57.4,163.2,86,90,73,-120.02,0,402,419.5340277
6360,90,57.6,162.8,86,90,73,-119.53,0,402,419.3941117
6380,90,57.8,162.4,86,90,73,-119.03,0,403,420.2108291
6400,90,59,160,86,90,73,-116,0,407,423.2079867
6420,90,59.1,159.6,86,90,73,-114.99,0,408,423.8946804
6440,90,59.2,159.2,86,90,73,-113.98,0,409,424.5850214
6460,90,59.3,158.8,86,90,73,-112.96,0,410,425.2763356
6480,90,59.4,158.4,86,90,73,-111.93,0,411,425.96869
6500,90,60,156,86,90,73,-105.71,0,416,429.2209269
6520,90,60.2,155.6,86,90,73,-105.17,0,417,430.0578204
6540,90,60.4,155.2,86,90,73,-104.64,0,417,429.9285168
6560,90,60.6,154.8,86,90,73,-104.1,0,418,430.7676984
6580,90,60.8,154.4,86,90,73,-103.56,0,419,431.6082409
6600,90,62,152,86,90,73,-100.31,0,422,433.7581078
6620,90,62.2,151.6,86.1,90,73,-100.04,0,423,434.6688413
6640,90,62.4,151.2,86.2,90,73,-99.78,0,423,434.6090754
6660,90,62.6,150.8,86.3,90,73,-99.51,0,424,435.520654
6680,90,62.8,150.4,86.4,90,73,-99.24,0,424,435.4590424
6700,90,64,148,87,90,73,-97.63,0,427,438.0189687
6720,90,64.2,147.6,87,90,73,-97.08,0,428,438.8718793
6740,90,64.4,147.2,87,90,73,-96.53,0,428,438.7505452
6760,90,64.6,146.8,87,90,73,-95.97,0,429,439.6035042
6780,90,64.8,146.4,87,90,73,-95.41,0,429,439.4815902
6800,90,66,144,87,90,73,-92.05,0,433,442.6761824
6820,90,66.1,143.6,87,90,73,-90.94,0,433,442.4467014
6840,90,66.2,143.2,87,90,73,-89.82,0,434,443.1970582
6860,90,66.3,142.8,87,90,73,-88.71,0,435,443.9532229
6880,90,66.4,142.4,87,90,73,-87.59,0,435,443.7307834
6900,90,67,140,87,90,73,-80.8,0,439,446.3738792
6920,90,67.2,139.6,87,90,73,-80.21,0,440,447.2512092
6940,90,67.4,139.2,87,90,73,-79.63,0,440,447.1475561
6960,90,67.6,138.8,87,90,73,-79.04,0,441,448.0271438
6980,90,67.8,138.4,87,90,73,-78.45,0,441,447.9234337
7000,90,69,136,87,90,73,-74.91,0,444,450.274925
7020,90,69.2,135.6,87,90,73,-74.31,0,445,451.161807
7040,90,69.4,135.2,87,90,73,-73.72,0,445,451.0650046
7060,90,69.6,134.8,87,90,73,-73.12,0,446,451.9541286
7080,90,69.8,134.4,87,90,73,-72.52,0,446,451.8574448
7100,90,71,132,87,90,73,-68.93,0,449,454.2602172
7120,90,71.2,131.6,87.1,90,73,-68.63,0,449,454.2147916
7140,90,71.4,131.2,87.2,90,73,-68.33,0,449,454.1695596
7160,90,71.6,130.8,87.3,90,73,-68.03,0,450,455.1132616
7180,90,71.8,130.4,87.4,90,73,-67.73,0,450,455.0685145
7200,90,73,128,88,90,73,-65.94,0,452,456.7845046
7220,90,73.1,127.6,88,90,73,-64.75,0,452,456.6142382
7240,90,73.2,127.2,88,90,73,-63.56,0,453,457.4372893
7260,90,73.3,126.8,88,90,73,-62.37,0,453,457.2734596
7280,90,73.4,126.4,88,90,73,-61.18,0,454,458.1036918
7300,90,74,124,88,90,73,-53.97,0,457,460.1757935
7320,90,74.2,123.6,88,90,73,-53.35,0,457,460.1034911
7340,90,74.4,123.2,88,90,73,-52.73,0,457,460.0320129
7360,90,74.6,122.8,88,90,73,-52.11,0,458,460.954935
7380,90,74.8,122.4,88,90,73,-51.49,0,458,460.885257
7400,90,76,120,88,90,73,-47.74,0,460,462.4706559
7420,90,76.2,119.6,88,90,73,-47.11,0,460,462.4060468
7440,90,76.4,119.2,88,90,73,-46.48,0,461,463.3372318
7460,90,76.6,118.8,88,90,73,-45.85,0,461,463.274457
7480,90,76.8,118.4,88,90,73,-45.22,0,461,463.2125305
7500,90,78,116,88,90,73,-41.44,0,463,464.8508079
7520,90,78.2,115.6,88,90,73,-40.81,0,463,464.7950689
7540,90,78.4,115.2,88,90,73,-40.17,0,463,464.7393128
7560,90,78.6,114.8,88,90,73,-39.54,0,464,465.6816634
7580,90,78.8,114.4,88,90,73,-38.91,0,464,465.6285946
7600,90,80,112,88,90,73,-35.09,0,465,466.3221077
7620,90,80.1,111.6,88.1,90,73,-34.17,0,465,466.2537816
7640,90,80.2,111.2,88.2,90,73,-33.25,0,466,467.1847199
7660,90,80.3,110.8,88.3,90,73,-32.33,0,466,467.120144
7680,90,80.4,110.4,88.4,90,73,-31.41,0,466,467.0573713
7700,90,81,108,89,90,73,-25.87,0,467,467.7160003
7720,90,81.2,107.6,89,90,73,-25.22,0,467,467.6804982
7740,90,81.4,107.2,89,90,73,-24.58,0,468,468.6450431
7760,90,81.6,106.8,89,90,73,-23.94,0,468,468.6119115
7780,90,81.8,106.4,89,90,73,-23.29,0,468,468.5791546
7800,90,83,104,89,90,73,-19.43,0,469,469.402306
7820,90,83.2,103.6,89,90,73,-18.78,0,469,469.3758498
