mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.9999999999999991,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.899999999999999,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.7999999999999989,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.6999999999999988,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.5999999999999988,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.49999999999999867,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.3999999999999986,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.2999999999999985,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.1999999999999984,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-0.09999999999999831,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
