timestamp(s),accel(m/s2),speed(m/s),position(m)
78.6,0,-0.976,94.92
78.7,0,-0.976,95.02
78.8,0,-0.976,95.12
78.9,0,-0.976,95.22
79,0,-0.976,95.32
79.1,0.0695,-0.96905,95.42
79.2,0.139,-0.95515,95.52
79.3,0.2085,-0.9343,95.62
79.4,0.278,-0.9065,95.72
79.5,0.3475,-0.87175,95.82
79.6,0.417,-0.83005,95.92
79.7,0.4865,-0.7814,96.02
79.8,0.556,-0.7258,96.12
79.9,0.556,-0.6702,96.22
80,0.556,-0.6146,96.32
80.1,0.556,-0.559,96.42
80.2,0.556,-0.5034,96.52
80.3,0.556,-0.4478,96.62
80.4,0.556,-0.3922,96.72
80.5,0.556,-0.3366,96.82
80.6,0.556,-0.281,96.92
80.7,0.4865,-0.23235,97.02
80.8,0.417,-0.19065,97.12
80.9,0.3475,-0.1559,97.22
81,0.278,-0.1281,97.32
81.1,0.2085,-0.10725,97.42
81.2,0.139,-0.09335,97.52
81.3,0,0,97.62
81.4,0,0,97.72
81.5,0,0,97.82
81.6,0,0,97.92
81.7,0,0,98.02
81.8,0,0,98.12
81.9,0,0,98.22
82,0,0,98.32
82.1,0,0,98.42
82.2,0,0,98.52
82.3,0,0,98.62
82.4,0,0,98.72
82.5,0,0,98.82
82.6,0,0,98.92
82.7,0,0,99.02
82.8,0,0,99.12
82.9,0,0,99.22
83,0,0,99.32
83.1,0,0,99.42
83.2,0,0,99.52
83.3,0,0,99.62
83.4,0,0,99.72
83.5,0,0,99.82
83.6,0,0,99.92
83.7,0,0,100.02
83.8,0,0,100.12
83.9,0,0,100.22
84,0,0,100.32
84.1,0,0,100.42
84.2,0,0,100.52
84.3,0,0,100.62
84.4,0,0,100.72
84.5,0,0,100.82
84.6,0,0,100.92
84.7,0,0,101.02
84.8,0,0,101.12
84.9,0,0,101.22
85,0,0,101.32
85.1,0,0,101.42
85.2,0,0,101.52
85.3,0,0,101.62
85.4,0,0,101.72
85.5,0,0,101.82
85.6,0,0,101.92
85.7,0,0,102.02
85.8,0,0,102.12
85.9,0,0,102.22
86,0,0,102.32
86.1,0,0,102.42
86.2,0,0,102.52
86.3,0,0,102.62
86.4,0,0,102.72
86.5,0,0,102.82
86.6,0,0,102.92
86.7,0,0,103.02
86.8,0,0,103.12
86.9,0,0,103.22
87,0,0,103.32
87.1,0,0,103.42
87.2,0,0,103.52
87.3,0,0,103.62
87.4,0,0,103.72
87.5,0,0,103.82
87.6,0,0,103.92
87.7,0,0,104.02
87.8,0,0,104.12
87.9,0,0,104.22
88,0,0,104.32
88.1,0,0,104.42
88.2,0,0,104.52
88.3,0,0,104.62
88.4,0,0,104.72
88.5,0,0,104.82
88.6,0,0,104.92
88.7,0,0,105.02
88.8,0,0,105.12
88.9,0,0,105.22
89,0,0,105.32
89.1,0,0,105.42
89.2,0,0,105.52
89.3,0,0,105.62
89.4,0,0,105.72
89.5,0,0,105.82
89.6,0,0,105.92
89.7,0,0,106.02
89.8,0,0,106.12
89.9,0,0,106.22
90,0,0,106.32
90.1,0,0,106.42
90.2,0,0,106.52
90.3,0,0,106.62
90.4,0,0,106.72
90.5,0,0,106.82
90.6,0,0,106.92
90.7,0,0,107.02
90.8,0,0,107.12
90.9,0,0,107.22
91,0,0,107.32
91.1,0,0,107.42
91.2,0,0,107.52
91.3,0,0,107.62
91.4,0,0,107.72
91.5,0,0,107.82
91.6,0,0,107.92
91.7,0,0,108.02
91.8,0,0,108.12
91.9,0,0,108.22
92,0,0,108.32
92.1,0,0,108.42
92.2,0,0,108.52
92.3,0,0,108.62
92.4,0,0,108.72
92.5,0,0,108.82
92.6,0,0,108.92
92.7,0,0,109.02
92.8,0,0,109.12
92.9,0,0,109.22
93,0,0,109.32
93.1,0,0,109.42
93.2,0,0,109.52
93.3,0,0,109.62
93.4,0,0,109.72
93.5,0,0,109.82
93.6,0,0,109.92
93.7,0,0,110.02
93.8,0,0,110.12
93.9,0,0,110.22
94,0,0,110.32
94.1,0,0,110.42
94.2,0,0,110.52
94.3,0,0,110.62
94.4,0,0,110.72
94.5,0,0,110.82
94.6,0,0,110.92
94.7,0,0,111.02
94.8,0,0,111.12
94.9,0,0,111.22
95,0,0,111.32
95.1,0,0,111.42
95.2,0,0,111.52
95.3,0,0,111.62
95.4,0,0,111.72
95.5,0,0,111.82
95.6,0,0,111.92
95.7,0,0,112.02
95.8,0,0,112.12
95.9,0,0,112.22
96,0,0,112.32
96.1,0,0,112.42
96.2,0,0,112.52
96.3,0,0,112.62
96.4,0,0,112.72
96.5,0,0,112.82
96.6,0,0,112.92
96.7,0,0,113.02
96.8,0,0,113.12
96.9,0,0,113.22
97,0,0,113.32
97.1,0,0,113.42
97.2,0,0,113.52
97.3,0,0,113.62
97.4,0,0,113.72
97.5,0,0,113.82
97.6,0,0,113.92
97.7,0,0,114.02
97.8,0,0,114.12
97.9,0,0,114.22
98,0,0,114.32
98.1,0,0,114.42
98.2,0,0,114.52
98.3,0,0,114.62
98.4,0,0,114.72
98.5,0,0,114.82
98.6,0,0,114.92
98.7,0,0,115.02
98.8,0,0,115.12
98.9,0,0,115.22
99,0,0,115.32
99.1,0,0,115.42
99.2,0,0,115.52
99.3,0,0,115.62
99.4,0,0,115.72
99.5,0,0,115.82
99.6,0,0,115.92
99.7,0,0,116.02
99.8,0,0,116.12
99.9,0,0,116.22
100,0,0,116.32
100.1,0,0,116.42
100.2,0,0,116.52
100.3,0,0,116.62
100.4,0,0,116.72
100.5,0,0,116.82
100.6,0,0,116.92
100.7,0,0,117.02
100.8,0,0,117.12
100.9,0,0,117.22
101,0,0,117.32
101.1,0,0,117.42
101.2,0,0,117.52
101.3,0,0,117.62
101.4,0,0,117.72
101.5,0,0,117.82
101.6,0,0,117.92
101.7,0,0,118.02
101.8,0,0,118.12
101.9,0,0,118.22
102,0,0,118.32
102.1,0,0,118.42
102.2,0,0,118.52
102.3,0,0,118.62
102.4,0,0,118.72
102.5,0,0,118.82
102.6,0,0,118.92
102.7,0,0,119.02
102.8,0,0,119.12
102.9,0,0,119.22
103,0,0,119.32
103.1,0,0,119.42
103.2,0,0,119.52
103.3,0,0,119.62
103.4,0,0,119.72
103.5,0,0,119.82
103.6,0,0,119.92
103.7,0,0,120.02
103.8,0,0,120.12
103.9,0,0,120.22
104,0,0,120.32
104.1,0,0,120.42
104.2,0,0,120.52
104.3,0,0,120.62
104.4,0,0,120.72
104.5,0,0,120.82
104.6,0,0,120.92
104.7,0,0,121.02
104.8,0,0,121.12
104.9,0,0,121.22
105,0,0,121.32
105.1,0,0,121.42
105.2,0,0,121.52
105.3,0,0,121.62
105.4,0,0,121.72
105.5,0,0,121.82
105.6,0,0,121.92
105.7,0,0,122.02
105.8,0,0,122.12
