timestamp(s),accel(m/s2),events,average_time_between_events,normalized_average_time_between_events
39.612,-0.426735,-,6.223,1
39.748,-0.340407,-,6.223,1
39.809,-0.191295,-,6.223,1
39.908,-0.104967,-,6.223,1
40.007,-0.023544,-,6.223,1
40.106,-0.014715,-,6.223,1
40.205,-0.004905,-,6.223,1
40.303,0.014715,-,6.223,1
40.402,-0.01962,-,6.223,1
40.501,-0.052974,-,6.223,1
40.6,0.023544,-,6.223,1
40.699,-0.057879,-,6.223,1
40.798,-0.004905,-,6.223,1
40.897,-0.01962,-,6.223,1
41.022,-0.004905,-,6.223,1
41.094,-0.004905,-,6.223,1
41.192,-0.033354,-,6.223,1
41.292,-0.00981,-,6.223,1
41.405,-0.028449,-,6.223,1
41.49,0.014715,Brake,6.223,1
41.626,-0.076518,-,6.223,1
41.687,0.028449,-,6.223,1
41.793,0.043164,-,6.223,1
41.884,0.201105,-,6.223,1
42.006,0.220725,-,6.223,1
42.082,0.41202,-,6.223,1
42.181,0.455184,-,6.223,1
42.28,0.62784,-,6.223,1
42.379,0.737712,-,6.223,1
42.477,0.679833,-,6.223,1
42.594,0.732807,-,6.223,1
42.675,0.646479,-,6.223,1
42.814,0.709263,-,6.223,1
42.872,0.666099,-,6.223,1
42.972,0.742617,-,6.223,1
43.07,0.671004,-,6.223,1
43.169,0.593505,-,6.223,1
43.268,0.397305,-,6.223,1
43.367,0.354141,-,6.223,1
43.465,0.20601,-,6.223,1
43.565,0.167751,-,6.223,1
43.673,0.014715,-,6.223,1
43.761,0,-,6.223,1
43.86,-0.071613,Arrival,6.1245,0.984171621
43.959,0.057879,-,6.1245,0.984171621
44.069,-0.033354,-,6.1245,0.984171621
44.157,-0.014715,-,6.1245,0.984171621
44.255,-0.033354,-,6.1245,0.984171621
44.355,0.01962,-,6.1245,0.984171621
44.453,0.004905,-,6.1245,0.984171621
44.552,-0.014715,-,6.1245,0.984171621
44.667,-0.048069,-,6.1245,0.984171621
44.749,0.01962,-,6.1245,0.984171621
44.885,-0.023544,-,6.1245,0.984171621
44.947,-0.004905,-,6.1245,0.984171621
45.047,-0.052974,-,6.1245,0.984171621
45.144,-0.004905,-,6.1245,0.984171621
45.273,0.004905,-,6.1245,0.984171621
45.341,-0.004905,-,6.1245,0.984171621
45.44,-0.028449,-,6.1245,0.984171621
45.538,-0.023544,-,6.1245,0.984171621
45.657,0.028449,-,6.1245,0.984171621
45.737,0.01962,-,6.1245,0.984171621
45.874,-0.043164,-,6.1245,0.984171621
45.934,0,-,6.1245,0.984171621
46.043,-0.00981,-,6.1245,0.984171621
46.132,0.014715,-,6.1245,0.984171621
46.259,0.01962,-,6.1245,0.984171621
46.329,0.119682,-,6.1245,0.984171621
46.428,0.20601,-,6.1245,0.984171621
46.526,0.153036,-,6.1245,0.984171621
46.645,0.101043,-,6.1245,0.984171621
46.724,0.014715,-,6.1245,0.984171621
46.864,-0.00981,-,6.1245,0.984171621
46.921,-0.004905,-,6.1245,0.984171621
47.02,-0.004905,-,6.1245,0.984171621
47.119,-0.00981,-,6.1245,0.984171621
47.217,-0.00981,-,6.1245,0.984171621
47.316,-0.014715,-,6.1245,0.984171621
47.46,-0.048069,-,6.1245,0.984171621
47.513,-0.01962,-,6.1245,0.984171621
47.612,-0.01962,-,6.1245,0.984171621
47.71,-0.00981,-,6.1245,0.984171621
