timestamp(s),accel(m/s2)
55.541,-0.004905
55.639,-0.023544
55.742,-0.004905
55.838,-0.01962
55.957,-0.00981
56.035,-0.004905
56.134,0
56.232,0.023544
56.332,-0.014715
56.431,-0.028449
56.529,-0.033354
56.628,-0.014715
56.727,-0.014715
56.826,-0.028449
56.924,-0.00981
57.023,0
57.123,-0.014715
57.22,-0.004905
57.32,0
57.419,-0.004905
57.518,-0.004905
57.616,0.00981
57.715,-0.014715
57.828,-0.01962
57.913,0.004905
58.012,0.004905
58.111,-0.004905
58.211,-0.004905
58.308,-0.01962
58.419,-0.004905
58.506,0.004905
58.636,-0.014715
58.704,-0.00981
58.803,0
58.901,-0.004905
59.009,0
59.1,-0.004905
59.23,-0.004905
59.297,0.004905
59.397,-0.004905
59.494,-0.004905
59.622,-0.00981
59.692,-0.004905
59.791,-0.004905
59.89,-0.004905
59.989,-0.00981
60.088,-0.004905
60.208,0
60.285,-0.00981
60.384,-0.004905
60.483,0
60.581,-0.004905
60.68,-0.00981
60.779,-0.004905
60.879,-0.004905
60.977,-0.014715
61.075,0
61.175,-0.004905
61.273,-0.004905
61.373,-0.004905
61.471,-0.004905
61.57,-0.004905
61.69,-0.00981
61.768,-0.004905
61.867,-0.004905
61.965,-0.014715
62.064,-0.004905
62.163,0.004905
62.283,-0.004905
62.361,-0.00981
62.459,-0.00981
62.559,-0.00981
62.673,-0.00981
62.755,-0.00981
62.891,-0.014715
62.953,-0.00981
63.052,-0.014715
63.151,-0.014715
63.25,-0.004905
63.348,-0.004905
63.481,-0.00981
63.547,-0.004905
63.645,0
63.743,-0.004905
63.843,-0.00981
63.941,0
64.04,-0.004905
64.139,-0.004905
64.237,-0.00981
64.337,-0.00981
64.435,-0.004905
64.535,-0.023544
64.633,-0.014715
64.732,-0.028449
64.831,-0.038259
64.936,-0.028449
65.029,-0.00981
65.15,0
65.226,0.004905
65.325,-0.028449
65.423,-0.028449
65.528,0.00981
65.622,0.014715
65.744,-0.01962
65.819,-0.014715
65.918,-0.014715
66.017,-0.01962
66.119,0
66.214,-0.004905
66.337,-0.004905
66.412,-0.023544
66.511,-0.028449
66.609,0
66.714,-0.004905
66.807,-0.01962
66.937,-0.00981
67.005,0.004905
67.104,-0.01962
67.202,-0.014715
67.34,0
67.4,0.023544
67.499,-0.00981
67.598,-0.01962
67.697,-0.014715
67.796,0
67.894,-0.00981
68.003,0.004905
68.092,-0.01962
68.191,-0.00981
68.29,-0.01962
68.388,0.004905
68.487,-0.004905
