window_start,window_end,mad_timestamp(s),mad_accel(m/s2),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
180,240,0.14,0.14,200,-1.0,-0.1,0.09747200000000061,0.09747200000000061,0.09747200000000061,0.09747200000000061,18.0,17.0,36,2,0.03825499999999992,0.032726701458408794,0.13462599999999897,0.03825499999999992,0.032726701458408794,0.13462599999999897,0.040672062500000036,0.034710350839966736,0.13462599999999897,0.040672062500000036,0.034710350839966736,0.13462599999999897,61.666666666666664,23.80952380952381,38.333333333333336,76.19047619047619,0.0,0.0
185,245,0.14,0.14,200,-1.0,-0.1,0.09747200000000061,0.09747200000000061,0.09747200000000061,0.09747200000000061,18.0,16.507574019219177,72,4,0.032426391304347824,0.03192368786277546,0.13462599999999897,0.032426391304347824,0.03192368786277546,0.13462599999999897,0.03854188888888891,0.03328554151895181,0.13462599999999897,0.03854188888888891,0.03328554151895181,0.13462599999999897,61.666666666666664,14.285714285714292,38.333333333333336,85.71428571428571,0.0,0.0
190,250,0.14,0.14,200,-1.0,-0.1,0.13462599999999897,0.13462599999999897,0.13462599999999897,0.13462599999999897,24.0,15.57776192739723,72,3,0.02513134782608688,0.028381690430717796,0.13462599999999897,0.02513134782608688,0.028381690430717796,0.13462599999999897,0.03392326666666672,0.03142110022148925,0.13462599999999897,0.03392326666666672,0.03142110022148925,0.13462599999999897,61.666666666666664,21.05263157894737,38.333333333333336,78.94736842105263,0.0,0.0
195,255,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.019875096774193284,0.024186965000974767,0.1245869999999993,0.019875096774193284,0.024186965000974767,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666643,7.142857142857153,51.66666666666667,7.142857142857142,46.666666666666664,85.71428571428571
200,260,0.14,0.14,200,-1.0,-0.1,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.1245869999999993,0.0,0.0,0,0,0.01847716666666641,0.02280096310161289,0.1245869999999993,0.01847716666666641,0.02280096310161289,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,0.1245869999999993,0.0,0.1245869999999993,1.6666666666666643,11.1111111111111,60.0,11.11111111111111,38.333333333333336,77.77777777777779
205,265,0.14,0.14,200,-1.0,-0.1,0.0417409999999999,0.0417409999999999,0.0,0.0,0.0,0.0,0,0,0.01616347499999976,0.013587010211940625,0.0652849999999995,0.01616347499999976,0.013587010211940625,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,25.0,66.66666666666666,0.0,31.666666666666664,75.0
210,270,0.14,0.14,200,-1.0,-0.1,0.0417409999999999,0.0417409999999999,0.0,0.0,0.0,0.0,0,0,0.016261574999999695,0.014128502114321173,0.0652849999999995,0.016261574999999695,0.014128502114321173,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,0.0,66.66666666666666,0.0,31.666666666666664,100.0
215,275,0.14,0.14,200,-1.0,-0.1,0.0417409999999999,0.0417409999999999,0.0,0.0,0.0,0.0,0,0,0.015305099999999665,0.013977798206083903,0.0652849999999995,0.015305099999999665,0.013977798206083903,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,0.0,66.66666666666666,0.0,31.666666666666664,100.0
220,280,0.14,0.14,200,-1.0,-0.1,0.056456000000000506,0.056456000000000506,0.0,0.0,0.0,0.0,0,0,0.014103374999999635,0.013151198549348141,0.0652849999999995,0.014103374999999635,0.013151198549348141,0.0652849999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666785,0.0,66.66666666666666,0.0,31.666666666666664,100.0
225,285,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.012080255813953106,0.010041974509569328,0.0436660000000006,0.012080255813953106,0.010041974509569328,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666607,0.0,71.66666666666667,0.0,26.666666666666668,100.0
230,290,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.011435020833332915,0.009711764055106976,0.0436660000000006,0.011435020833332915,0.009711764055106976,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666679,0.0,80.0,0.0,18.333333333333332,100.0
235,295,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.010911528301886414,0.009498955709442751,0.0436660000000006,0.010911528301886414,0.009498955709442751,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,50.0,88.33333333333333,0.0,10.0,50.0
240,300,0.14,0.14,200,-1.0,-0.1,0.0436660000000006,0.0436660000000006,0.0,0.0,0.0,0.0,0,0,0.010393724137930637,0.009235463266749955,0.0436660000000006,0.010393724137930637,0.009235463266749955,0.0436660000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666619,100.0,96.66666666666667,0.0,1.6666666666666667,0.0
245,305,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.009643728813558902,0.008095887321330415,0.0333539999999995,0.009643728813558902,0.008095887321330415,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
250,310,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.009228050847457234,0.008251474619981224,0.0333539999999995,0.009228050847457234,0.008251474619981224,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
